words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key,sentence_id,sentence
of,1366,2,39,23,0,1385.5,13.5,0.0159500693481276,0.0205263157894736,427f9648-1577-4e3a-ab30-fab73df0671d,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
motion,1430,0,132,25,0,1496.0,12.5,0.0173370319001386,0.0694736842105263,6b42c783-b866-46f0-b7dd-14c7366f3038,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
picture,1584,0,152,31,0,1660.0,15.5,0.0214979195561719,0.08,4f17d476-1c2e-4fa5-8ce0-552037116fb9,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
cameras,2,97,150,18,0,77.0,106.0,0.0124826629680998,0.0789473684210526,513e50bd-7971-4bc6-97b8-50b14d5d429d,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
and,178,91,64,24,0,210.0,103.0,0.0166435506241331,0.0336842105263157,5ef57666-a240-4956-92e2-79b1dc16a05a,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
the,267,91,61,24,0,297.5,103.0,0.0166435506241331,0.0321052631578947,fff9aece-6227-4d41-9f10-0f86cbab7545,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
establishment,354,90,282,25,0,495.0,102.5,0.0173370319001386,0.1484210526315789,f02ef0ee-b9b8-4a61-91fa-5f83613ab704,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
of,662,92,39,23,0,681.5,103.5,0.0159500693481276,0.0205263157894736,056af569-ac49-4d4e-a3a8-be11302d6d5e,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
film,729,90,85,25,0,771.5,102.5,0.0173370319001386,0.0447368421052631,fed75cdf-d916-4c91-a7a3-b0b54a346580,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
production,836,90,220,31,0,946.0,105.5,0.0214979195561719,0.1157894736842105,7ff69702-08ff-4534-a3ad-5740ed42e062,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
companies.,1080,90,210,31,0,1185.0,105.5,0.0214979195561719,0.1105263157894736,d38d6ea4-cf46-4a0a-b5e9-6d3194d61e2b,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
The,1322,91,62,24,0,1353.0,103.0,0.0166435506241331,0.0326315789473684,9de40d78-c99d-4047-8843-4f08de48dcc2,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
films,1411,90,105,25,0,1463.5,102.5,0.0173370319001386,0.0552631578947368,00abdc6f-da1f-4e77-a2e8-35dbde2b35ed,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
of,1542,92,39,23,0,1561.5,103.5,0.0159500693481276,0.0205263157894736,208dddc7-63b4-4c36-8bbe-cec2e3239726,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
the,1609,91,61,24,0,1639.5,103.0,0.0166435506241331,0.0321052631578947,790d25fe-8c6b-4f09-a121-1d78d1e31d04,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
1890s,1697,94,105,21,0,1749.5,104.5,0.0145631067961165,0.0552631578947368,d4082f60-f8ac-4a6f-9a69-3e3eca228e63,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
were,0,188,86,17,0,43.0,196.5,0.0117891816920943,0.0452631578947368,b5f1a955-0bbe-44e6-8d2e-52fce7799729,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
under,111,181,106,24,0,164.0,193.0,0.0166435506241331,0.0557894736842105,e54d1c63-96b4-4f07-8ee0-6e4e5c2d5720,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
a,244,188,19,17,0,253.5,196.5,0.0117891816920943,0.01,fd97ec64-eaba-4ad5-8235-85d4bb1a22ba,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
minute,286,180,130,25,0,351.0,192.5,0.0173370319001386,0.0684210526315789,fc36c8bb-cf7a-4b0e-ba9b-37a1910b05ef,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
long,443,181,85,30,0,485.5,196.0,0.0208044382801664,0.0447368421052631,33573b32-d04d-40ed-8074-4d668016cefa,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
and,552,181,64,24,0,584.0,193.0,0.0166435506241331,0.0336842105263157,23301392-c9ae-4eaa-9b14-ce0386aa983c,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
until,639,180,106,25,0,692.0,192.5,0.0173370319001386,0.0557894736842105,cd53cff6-95d6-416b-a302-5c4e8224bed1,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
"1927,",773,184,99,25,0,822.5,196.5,0.0173370319001386,0.0521052631578947,b9dad861-5e06-4ecd-9ff6-cfcedf14e5e2,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
motion,902,180,132,25,0,968.0,192.5,0.0173370319001386,0.0694736842105263,12720edb-7c2e-48a3-a9df-7e2c16cbda3c,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
pictures,1056,180,174,31,0,1143.0,195.5,0.0214979195561719,0.091578947368421,10257a69-92d7-4628-a8af-b24f25f1b4d2,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
were,1254,188,86,17,0,1297.0,196.5,0.0117891816920943,0.0452631578947368,174018a9-1235-4bcb-8c92-36b021cbee47,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
produced,1364,181,176,30,0,1452.0,196.0,0.0208044382801664,0.0926315789473684,05579699-9b73-4fc8-b0f8-fd7d23744e8d,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
without,1562,180,152,25,0,1638.0,192.5,0.0173370319001386,0.08,8fed2715-1ffa-43c4-908e-ca6a673b0056,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
sound.,1741,181,121,24,0,1801.5,193.0,0.0166435506241331,0.0636842105263157,ada71e03-be07-46f6-b349-9e38f881cb57,history_of_film_1,"The films of the 1890s were under a minute long and until 1927, motion pictures were produced without sound."
The,2,271,62,24,0,33.0,283.0,0.0166435506241331,0.0326315789473684,edf45d29-8ab2-425d-ad5b-eb70908c8256,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
first,91,270,105,25,0,143.5,282.5,0.0173370319001386,0.0552631578947368,f4053df1-9133-4877-8f63-e92001f89ee3,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
eleven,222,271,130,24,0,287.0,283.0,0.0166435506241331,0.0684210526315789,58d01097-58a3-4fd5-99f1-cc192974fbc0,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
years,374,277,108,23,0,428.0,288.5,0.0159500693481276,0.0568421052631578,3b98956a-ad86-4e8c-8b01-37f0ace46654,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
of,508,272,39,23,0,527.5,283.5,0.0159500693481276,0.0205263157894736,a99d126d-4c8b-41c5-baa5-84ecfc9dbff8,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
motion,572,270,132,25,0,638.0,282.5,0.0173370319001386,0.0694736842105263,f495e831-ac8d-4db5-8b23-311030686de2,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
pictures,726,270,174,31,0,813.0,285.5,0.0214979195561719,0.091578947368421,04dd9211-13eb-48fe-97ee-88f18881aa55,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
show,927,271,85,24,0,969.5,283.0,0.0166435506241331,0.0447368421052631,3b0103c7-663a-43af-9e70-652b74a31e85,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
the,1037,271,61,24,0,1067.5,283.0,0.0166435506241331,0.0321052631578947,64d396c8-9676-4e63-b106-db99d4a1a757,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
cinema,1124,270,129,25,0,1188.5,282.5,0.0173370319001386,0.0678947368421052,49af4378-b87a-4f43-892a-4680d8fef6cd,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
moving,1276,270,132,31,0,1342.0,285.5,0.0214979195561719,0.0694736842105263,13c371e5-abc5-470a-bc84-0f567242b19c,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
from,1433,272,85,23,0,1475.5,283.5,0.0159500693481276,0.0447368421052631,47ba53e3-4815-44e5-83e4-72331735ad33,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
a,1542,278,19,17,0,1551.5,286.5,0.0117891816920943,0.01,4303b39b-7571-4bfc-a822-9b50beafd605,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
novelty,1585,271,152,29,0,1661.0,285.5,0.0201109570041608,0.08,a93d778f-d3a3-4449-9052-8ca4ffeb05bd,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
to,1763,274,39,21,0,1782.5,284.5,0.0145631067961165,0.0205263157894736,41174bd0-bc02-4cc9-b152-cbbd0b6d45e2,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
an,1828,278,42,17,0,1849.0,286.5,0.0117891816920943,0.0221052631578947,dc9be136-1ece-4f13-ada6-c292cfd3a955,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
established,2,360,240,25,0,122.0,372.5,0.0173370319001386,0.1263157894736842,cf9a5c3d-9e53-48d2-90ab-23e6a2b68509,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
large-scale,267,361,237,30,0,385.5,376.0,0.0208044382801664,0.1247368421052631,91d8f067-85a2-4f16-b146-eac905dfb2be,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
entertainment,530,360,282,25,0,671.0,372.5,0.0173370319001386,0.1484210526315789,8939cac9-d673-411d-9fb8-d0b9557894a2,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
industry.,840,360,186,30,0,933.0,375.0,0.0208044382801664,0.0978947368421052,671a7722-849b-47e6-b3c7-52d7cd5de12a,history_of_film_2,The first eleven years of motion pictures show the cinema moving from a novelty to an established large-scale entertainment industry.
The,1058,361,62,24,0,1089.0,373.0,0.0166435506241331,0.0326315789473684,e203bda7-cd81-4ef0-966c-fa62a6f4d479,history_of_film_3,The films became several minutes long consisting of several shots.
films,1147,360,105,25,0,1199.5,372.5,0.0173370319001386,0.0552631578947368,806f5427-b110-42d2-9bc1-3b9009f0e5f0,history_of_film_3,The films became several minutes long consisting of several shots.
became,1276,361,130,24,0,1341.0,373.0,0.0166435506241331,0.0684210526315789,e5d1b72a-aae6-4ea5-9456-c5cd7d706618,history_of_film_3,The films became several minutes long consisting of several shots.
several,1433,361,148,24,0,1507.0,373.0,0.0166435506241331,0.0778947368421052,00afac9a-4044-43fa-9566-5e55fba9003e,history_of_film_3,The films became several minutes long consisting of several shots.
minutes,1606,360,152,25,0,1682.0,372.5,0.0173370319001386,0.08,51b29320-378b-4bde-9a51-575df5b99c99,history_of_film_3,The films became several minutes long consisting of several shots.
long,1785,361,85,30,0,1827.5,376.0,0.0208044382801664,0.0447368421052631,fa453644-1bd8-4b41-a6f2-86bf871f20df,history_of_film_3,The films became several minutes long consisting of several shots.
consisting,2,450,218,31,0,111.0,465.5,0.0214979195561719,0.1147368421052631,8ba759b3-f434-4718-b9a7-68729cf442e6,history_of_film_3,The films became several minutes long consisting of several shots.
of,244,452,39,23,0,263.5,463.5,0.0159500693481276,0.0205263157894736,1cacaa87-7bc2-488d-87b2-884d26307f6f,history_of_film_3,The films became several minutes long consisting of several shots.
several,311,451,148,24,0,385.0,463.0,0.0166435506241331,0.0778947368421052,4c5a0651-64c0-4849-860a-834de416746f,history_of_film_3,The films became several minutes long consisting of several shots.
shots.,487,451,121,24,0,547.5,463.0,0.0166435506241331,0.0636842105263157,7d7805fa-bb47-44a9-ae21-5ace9527a48c,history_of_film_3,The films became several minutes long consisting of several shots.
The,640,451,62,24,0,671.0,463.0,0.0166435506241331,0.0326315789473684,76d5e3a3-a2e5-4777-a073-252973c3a99b,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
first,729,450,105,25,0,781.5,462.5,0.0173370319001386,0.0552631578947368,76c399bd-2f75-490f-a6c9-e5ee0f2ade88,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
rotating,860,450,174,31,0,947.0,465.5,0.0214979195561719,0.091578947368421,ae079e8a-c568-4426-a218-59f9d6e08b5b,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
camera,1058,458,129,17,0,1122.5,466.5,0.0117891816920943,0.0678947368421052,181749c5-7f25-4c02-87ba-b1f11c045f40,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
for,1213,452,60,23,0,1243.0,463.5,0.0159500693481276,0.031578947368421,549d7a8b-5b1e-4e14-9a25-43e1707af585,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
taking,1301,450,129,31,0,1365.5,465.5,0.0214979195561719,0.0678947368421052,db339f88-b7d0-473f-a121-79a51c0c2b8d,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
panning,1452,450,154,31,0,1529.0,465.5,0.0214979195561719,0.0810526315789473,5e1abb08-77f0-468f-a628-1b65c6a92532,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
shots,1631,451,105,24,0,1683.5,463.0,0.0166435506241331,0.0552631578947368,43440e9c-c4f9-4996-8df7-3aaec231aaac,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
was,1760,457,64,18,0,1792.0,466.0,0.0124826629680998,0.0336842105263157,a441b505-51ee-4562-9810-9f3c2a07a2a8,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
built,0,540,108,25,0,54.0,552.5,0.0173370319001386,0.0568421052631578,0001803c-c773-4add-b3fe-84874189b102,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
in,136,540,40,25,0,156.0,552.5,0.0173370319001386,0.0210526315789473,30341c4a-2176-4a5f-a094-3100520df3ec,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
1897.,201,544,99,21,0,250.5,554.5,0.0145631067961165,0.0521052631578947,8d14fe3f-ef38-4e07-908e-aff241e1ef39,history_of_film_4,The first rotating camera for taking panning shots was built in 1897.
The,332,541,62,24,0,363.0,553.0,0.0166435506241331,0.0326315789473684,42f307e0-156c-497f-9c7f-7be05d0bf988,history_of_film_5,The first film studios were built in 1897.
first,421,540,105,25,0,473.5,552.5,0.0173370319001386,0.0552631578947368,d01157c9-8ed1-4b81-bb2c-3492a510ab3b,history_of_film_5,The first film studios were built in 1897.
film,553,540,85,25,0,595.5,552.5,0.0173370319001386,0.0447368421052631,07433606-5630-4ba5-b488-e2512c1c88d0,history_of_film_5,The first film studios were built in 1897.
studios,663,540,149,25,0,737.5,552.5,0.0173370319001386,0.0784210526315789,f1ef000d-b390-4fe7-b609-2f1d46d09d3a,history_of_film_5,The first film studios were built in 1897.
were,836,548,86,17,0,879.0,556.5,0.0117891816920943,0.0452631578947368,05f9a180-792d-4b56-95db-773c0f9d75b4,history_of_film_5,The first film studios were built in 1897.
built,946,540,108,25,0,1000.0,552.5,0.0173370319001386,0.0568421052631578,ce8e8d63-cf01-4eba-857b-96ba101ece1e,history_of_film_5,The first film studios were built in 1897.
in,1082,540,40,25,0,1102.0,552.5,0.0173370319001386,0.0210526315789473,a98b7d17-a2d9-4650-8ce9-3eac140652df,history_of_film_5,The first film studios were built in 1897.
1897.,1147,544,99,21,0,1196.5,554.5,0.0145631067961165,0.0521052631578947,73157701-c34d-4b23-a2b6-a850cabd3ab1,history_of_film_5,The first film studios were built in 1897.
Special,1278,540,149,31,0,1352.5,555.5,0.0214979195561719,0.0784210526315789,2670169f-6b1a-4e38-9635-2c4feeeab275,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
effects,1454,542,150,23,0,1529.0,553.5,0.0159500693481276,0.0789473684210526,cc15f63a-64e7-47d5-b82f-65d3a65f956b,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
were,1628,548,86,17,0,1671.0,556.5,0.0117891816920943,0.0452631578947368,105d6519-fa68-4d42-8f00-6db150fc4920,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
introduced,4,630,216,25,0,112.0,642.5,0.0173370319001386,0.1136842105263157,5808c53c-ace2-4893-b8bc-7aa400662e87,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
and,244,631,64,24,0,276.0,643.0,0.0166435506241331,0.0336842105263157,a1ed07f8-4c9d-47f9-ad3d-c35044993e28,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
film,333,630,85,25,0,375.5,642.5,0.0173370319001386,0.0447368421052631,38d7d8d1-8535-470d-98bc-b9e01348cc46,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
"continuity,",442,630,232,30,0,558.0,645.0,0.0208044382801664,0.1221052631578947,59121ea7-f9ba-47c8-88e5-62d4d0fdd9ea,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
involving,708,630,194,31,0,805.0,645.5,0.0214979195561719,0.1021052631578947,9744aabe-e853-47ab-9a19-e8f3d62048a4,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
action,926,630,130,25,0,991.0,642.5,0.0173370319001386,0.0684210526315789,42124f81-0008-44ed-add5-721f84f99bf8,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
moving,1078,630,132,31,0,1144.0,645.5,0.0214979195561719,0.0694736842105263,e0ebe991-6875-4c96-82db-51ed36387072,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
from,1235,632,85,23,0,1277.5,643.5,0.0159500693481276,0.0447368421052631,c8b0a4d4-4464-4b10-a8f1-41ecf161128b,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
one,1344,638,62,17,0,1375.0,646.5,0.0117891816920943,0.0326315789473684,867aec4e-adf4-460a-bfb4-89051c9f510c,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
sequence,1433,637,171,24,0,1518.5,649.0,0.0166435506241331,0.09,06418a24-1d6c-4695-a26b-9a509e31b4df,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
into,1632,630,82,25,0,1673.0,642.5,0.0173370319001386,0.0431578947368421,11fdc6fa-c991-4ed7-b04b-099fcc339fdf,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
"another,",2,722,166,28,0,85.0,736.0,0.0194174757281553,0.0873684210526315,84f70fa5-bf2f-42bc-95dc-b19a6834d361,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
began,198,722,110,30,0,253.0,737.0,0.0208044382801664,0.0578947368421052,6663fbc2-79d0-4824-bb78-5a511f2aa367,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
to,333,725,39,21,0,352.5,735.5,0.0145631067961165,0.0205263157894736,c9d7f813-6360-4374-bf64-53b6b1842e42,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
be,396,722,42,24,0,417.0,734.0,0.0166435506241331,0.0221052631578947,df4dc806-4a05-4193-9eb4-a56162a8a9f1,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
used.,463,722,101,24,0,513.5,734.0,0.0166435506241331,0.0531578947368421,f67c23db-a5ab-4c7b-9781-5c881e2b53b4,history_of_film_6,"Special effects were introduced and film continuity, involving action moving from one sequence into another, began to be used."
In,597,725,41,21,0,617.5,735.5,0.0145631067961165,0.021578947368421,fbb9891b-a974-4996-aea7-502d4bb4e361,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
"1900,",663,725,99,25,0,712.5,737.5,0.0173370319001386,0.0521052631578947,3c9f771f-4485-42ba-b03e-54b08bf21ec8,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
continuity,794,721,217,30,0,902.5,736.0,0.0208044382801664,0.1142105263157894,06435fb4-9677-4216-bd70-a48211287c7f,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
of,1036,723,39,23,0,1055.5,734.5,0.0159500693481276,0.0205263157894736,8839d3e5-117f-4575-ab7b-77837860278a,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
action,1102,721,130,25,0,1167.0,733.5,0.0173370319001386,0.0684210526315789,743cc682-89c4-4e8f-b7aa-33ca22a57e61,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
across,1256,728,128,18,0,1320.0,737.0,0.0124826629680998,0.0673684210526315,a4d1a993-4c31-46da-b546-64465a6147a5,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
successive,1411,721,215,25,0,1518.5,733.5,0.0173370319001386,0.1131578947368421,71fa7ac5-0124-412a-bf7d-b4acf0e73bdf,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
shots,1653,722,105,24,0,1705.5,734.0,0.0166435506241331,0.0552631578947368,83cffd43-13b4-4977-8700-5f4b27e56c23,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
was,1782,728,64,18,0,1814.0,737.0,0.0124826629680998,0.0336842105263157,ef15c3b8-9709-4d7a-b5c7-e5549b520a03,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
achieved,2,811,174,25,0,89.0,823.5,0.0173370319001386,0.091578947368421,b76c7253-ec22-4054-8278-343c37ab9db8,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
and,200,812,64,24,0,232.0,824.0,0.0166435506241331,0.0336842105263157,c6b7d071-2be9-4481-a832-f50afa2ebc6f,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
the,289,812,61,24,0,319.5,824.0,0.0166435506241331,0.0321052631578947,6222b05b-e404-42c6-943f-04f3a6e7aa37,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
close-up,376,812,173,30,0,462.5,827.0,0.0208044382801664,0.0910526315789473,9cd49a14-90f1-462d-961f-f28ba33a79f6,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
shot,575,812,83,24,0,616.5,824.0,0.0166435506241331,0.0436842105263157,6bb07b8b-50c5-4fea-bce4-a4678484904f,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
was,682,818,64,18,0,714.0,827.0,0.0124826629680998,0.0336842105263157,c16442d4-2eff-467a-966b-bcc73f72ba62,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
introduced.,774,811,230,25,0,889.0,823.5,0.0173370319001386,0.1210526315789473,05e2f749-db61-4b13-950c-111dd2a13175,history_of_film_7,"In 1900, continuity of action across successive shots was achieved and the close-up shot was introduced."
The,1036,812,62,24,0,1067.0,824.0,0.0166435506241331,0.0326315789473684,193e5677-c214-449d-a198-1b6d186a512f,history_of_film_8,The first animation use in movies was in 1899.
first,1125,811,105,25,0,1177.5,823.5,0.0173370319001386,0.0552631578947368,596dcf85-36b8-4944-b23d-c0516f2499ef,history_of_film_8,The first animation use in movies was in 1899.
animation,1256,811,196,25,0,1354.0,823.5,0.0173370319001386,0.1031578947368421,710f55b6-6742-4daa-9428-c495f9465f75,history_of_film_8,The first animation use in movies was in 1899.
use,1475,818,63,18,0,1506.5,827.0,0.0124826629680998,0.0331578947368421,87eed094-ed97-4818-baa2-f8ccdfe2170c,history_of_film_8,The first animation use in movies was in 1899.
in,1566,811,40,25,0,1586.0,823.5,0.0173370319001386,0.0210526315789473,dfb7474a-5e81-4100-be0e-88859089d1a0,history_of_film_8,The first animation use in movies was in 1899.
movies,1628,811,130,25,0,1693.0,823.5,0.0173370319001386,0.0684210526315789,d0887187-dad8-4ebd-889d-d80270209656,history_of_film_8,The first animation use in movies was in 1899.
