words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key,sentence_id,sentence
early,1432,91,107,29,0,1485.5,105.5,0.0201109570041608,0.0563157894736842,ac776c31-2291-49c1-8666-0aed78442f1b,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
15th,1565,91,85,24,0,1607.5,103.0,0.0166435506241331,0.0447368421052631,7fc36eb8-e21c-4d63-a26f-58d939db3857,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
century,1674,94,151,26,0,1749.5,107.0,0.0180305131761442,0.0794736842105263,f73e59aa-7037-4a47-81d0-aa259e44cf6a,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
and,2,181,64,24,0,34.0,193.0,0.0166435506241331,0.0336842105263157,c4ec0115-d775-4fd1-83ad-91fa5e18f8f6,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
may,88,188,65,22,0,120.5,199.0,0.015256588072122,0.0342105263157894,6ce7f05d-202b-436e-9b43-2117fa83f5a9,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
have,177,181,85,24,0,219.5,193.0,0.0166435506241331,0.0447368421052631,d3f96439-8803-474b-882a-c8706880bc00,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
been,286,181,88,24,0,330.0,193.0,0.0166435506241331,0.0463157894736842,00986d6e-aa84-4dd1-99a1-ec0969210d92,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
composed,398,181,174,30,0,485.0,196.0,0.0208044382801664,0.091578947368421,2644f7df-4789-496d-bacd-5eff2cd7b36e,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
in,598,180,40,25,0,618.0,192.5,0.0173370319001386,0.0210526315789473,29e654ee-3876-4bf1-843d-9e61b7b51b13,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
Northern,660,181,176,24,0,748.0,193.0,0.0166435506241331,0.0926315789473684,6b2c5d73-ce21-4b93-96af-cebf7f17e1fe,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
Italy,861,181,106,29,0,914.0,195.5,0.0201109570041608,0.0557894736842105,a55bfdd3-c1f0-4ad1-8ab0-2b3d7d77f6dc,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
during,991,180,131,31,0,1056.5,195.5,0.0214979195561719,0.0689473684210526,f1706eb3-9237-4912-8f67-50231d921491,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
the,1147,181,61,24,0,1177.5,193.0,0.0166435506241331,0.0321052631578947,95f3ec38-0656-4a9a-b48b-3b3c5e47cfce,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
Italian,1235,180,151,25,0,1310.5,192.5,0.0173370319001386,0.0794736842105263,4658bf77-9742-43c1-be59-76d69de714df,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
Renaissance.,1409,180,255,25,0,1536.5,192.5,0.0173370319001386,0.1342105263157894,b144fb42-3d27-411b-9c4d-6a299c42ca7c,the_voynich_manuscript_1,The paper in the book pages has been carbon-dated to the early 15th century and may have been composed in Northern Italy during the Italian Renaissance.
The,1696,181,62,24,0,1727.0,193.0,0.0166435506241331,0.0326315789473684,2b05fd15-96f7-460b-b9bc-f13809ea6ddd,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
manuscript,0,270,218,31,0,109.0,285.5,0.0214979195561719,0.1147368421052631,fb0c3622-12db-4cce-8862-96b25a0a551f,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
is,246,270,38,25,0,265.0,282.5,0.0173370319001386,0.02,c0ef6e62-bb18-4c2f-9693-9f3f01d697af,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
named,309,271,109,24,0,363.5,283.0,0.0166435506241331,0.0573684210526315,d45eb21d-251e-4d3a-97a0-84762d1de00d,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
after,442,272,105,23,0,494.5,283.5,0.0159500693481276,0.0552631578947368,a44ab1b9-72bc-49b8-a12a-76b18b2484e7,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
Wilfrid,572,270,154,25,0,649.0,282.5,0.0173370319001386,0.0810526315789473,721b0385-02b0-4aba-a563-8ec5abc5a646,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
"Voynich,",748,270,168,30,0,832.0,285.0,0.0208044382801664,0.0884210526315789,e62791ca-b24d-4ecb-b460-3ce4bcc11eb1,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
a,948,278,19,17,0,957.5,286.5,0.0117891816920943,0.01,9458aa4e-0627-4e6b-80b4-b8d67dacee18,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
Polish,992,270,130,25,0,1057.0,282.5,0.0173370319001386,0.0684210526315789,f2573544-0244-468f-a55c-126516114d5b,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
book,1144,271,87,24,0,1187.5,283.0,0.0166435506241331,0.0457894736842105,76317379-ae7b-4935-988f-eecd8ea3b3a3,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
dealer,1255,271,128,24,0,1319.0,283.0,0.0166435506241331,0.0673684210526315,ad5d81b2-a412-40fc-b71c-9382c4893b64,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
who,1408,271,64,24,0,1440.0,283.0,0.0166435506241331,0.0336842105263157,84d8d8e7-687a-4a88-b168-bd34bda7bc8d,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
purchased,1496,271,198,30,0,1595.0,286.0,0.0208044382801664,0.1042105263157894,3c8c7939-88b3-4bfc-9d63-324d3e56f6d1,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
it,1720,270,38,25,0,1739.0,282.5,0.0173370319001386,0.02,e7d3c900-de98-45a0-99ab-830c069e4040,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
in,1786,270,40,25,0,1806.0,282.5,0.0173370319001386,0.0210526315789473,33e05d30-dc24-4499-bbb5-21d6ca5cce95,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
1912.,3,364,99,21,0,52.5,374.5,0.0145631067961165,0.0521052631578947,69ea5a61-9070-4f9e-b679-75d46e5226eb,the_voynich_manuscript_2,"The manuscript is named after Wilfrid Voynich, a Polish book dealer who purchased it in 1912."
The,134,361,62,24,0,165.0,373.0,0.0166435506241331,0.0326315789473684,362b2a3d-fd0f-4684-a17a-6e29c17c19a3,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
Voynich,220,360,154,30,0,297.0,375.0,0.0208044382801664,0.0810526315789473,61b8697f-601e-4870-8ad1-cee4b3ae7b03,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
manuscript,396,360,218,31,0,505.0,375.5,0.0214979195561719,0.1147368421052631,81f95255-36f2-4b5b-beff-8a4754089625,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
has,639,361,63,24,0,670.5,373.0,0.0166435506241331,0.0331578947368421,d89e15b5-dd81-402a-9645-4642c733e9eb,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
been,726,361,88,24,0,770.0,373.0,0.0166435506241331,0.0463157894736842,83842b80-3a0a-4c30-aca0-a451bff12072,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
studied,839,360,151,25,0,914.5,372.5,0.0173370319001386,0.0794736842105263,c1d142d6-6148-4ffb-96e5-d31338eab264,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
by,1012,361,43,29,0,1033.5,375.5,0.0201109570041608,0.0226315789473684,ebe5c1e5-ed96-4260-b8c7-8dcd5814a3b7,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
many,1078,368,87,22,0,1121.5,379.0,0.015256588072122,0.0457894736842105,38a63f58-986c-498a-b12a-f114d7e62a00,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
professional,1188,360,261,31,0,1318.5,375.5,0.0214979195561719,0.1373684210526315,94598e9b-a427-463f-b1bf-ebd85880d585,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
and,1476,361,64,24,0,1508.0,373.0,0.0166435506241331,0.0336842105263157,552933e6-c53b-4270-be16-36ef9daa9457,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
amateur,1564,364,149,21,0,1638.5,374.5,0.0145631067961165,0.0784210526315789,e07455b1-ccbb-41c2-8f59-b08dbe257624,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
"cryptographers,",2,451,320,30,0,162.0,466.0,0.0208044382801664,0.1684210526315789,5f227f91-43d9-4b47-8d8c-21bdeed60e09,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
including,356,450,194,31,0,453.0,465.5,0.0214979195561719,0.1021052631578947,906fef98-942e-48ee-afef-078da6fab547,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
American,572,450,176,25,0,660.0,462.5,0.0173370319001386,0.0926315789473684,d4b30a9c-0441-4176-b260-053c5bd9bc61,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
and,772,451,64,24,0,804.0,463.0,0.0166435506241331,0.0336842105263157,a322bf33-e224-44da-a662-02408426b0ba,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
British,859,450,153,25,0,935.5,462.5,0.0173370319001386,0.0805263157894736,877236d2-f556-4eff-b046-a6bc4e7ea159,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
codebreakers,1036,451,260,24,0,1166.0,463.0,0.0166435506241331,0.1368421052631579,f6be3019-c9a8-44ac-990f-b45ecb415705,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
from,1323,452,85,23,0,1365.5,463.5,0.0159500693481276,0.0447368421052631,7b077a94-a2d6-42d7-abfd-3c7634ce882f,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
both,1430,451,88,24,0,1474.0,463.0,0.0166435506241331,0.0463157894736842,d57f31c2-c16d-41fd-a9b1-f90f54257f67,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
World,1540,451,110,24,0,1595.0,463.0,0.0166435506241331,0.0578947368421052,0db3ed54-c14c-4416-a698-53b23da9ec6e,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
War,1672,454,63,21,0,1703.5,464.5,0.0145631067961165,0.0331578947368421,7a0ae79c-d147-43a7-985b-533ad979172d,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
I,1763,454,16,21,0,1771.0,464.5,0.0145631067961165,0.0084210526315789,863b3f5f-a066-4b03-939f-f3090bbbadad,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
and,1806,451,64,24,0,1838.0,463.0,0.0166435506241331,0.0336842105263157,56aab84c-04f2-4c8f-998c-a2180feff4d7,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
World,0,541,110,24,0,55.0,553.0,0.0166435506241331,0.0578947368421052,72c8ba59-7a14-4560-9b3b-4790be0041df,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
War,132,544,63,21,0,163.5,554.5,0.0145631067961165,0.0331578947368421,8694972f-6219-40cf-8a1c-0b317a6798c3,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
II.,223,544,55,21,0,250.5,554.5,0.0145631067961165,0.0289473684210526,d3730e6d-80fe-4c47-bca0-8040834ca8d2,the_voynich_manuscript_3,"The Voynich manuscript has been studied by many professional and amateur cryptographers, including American and British codebreakers from both World War I and World War II."
No,308,544,42,21,0,329.0,554.5,0.0145631067961165,0.0221052631578947,e18d925d-0d83-421d-8bcb-102791390b3c,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
one,376,548,62,17,0,407.0,556.5,0.0117891816920943,0.0326315789473684,ed89f79c-956b-4bc1-8141-b3e6a2e5f24a,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
has,463,541,63,24,0,494.5,553.0,0.0166435506241331,0.0331578947368421,11ce11aa-51ec-4e0e-8eb0-f6728c645378,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
yet,550,544,64,26,0,582.0,557.0,0.0180305131761442,0.0336842105263157,e90ab911-52d0-4476-96ea-fa89415516e2,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
succeeded,641,541,195,24,0,738.5,553.0,0.0166435506241331,0.1026315789473684,dc0ab704-b753-4993-87dc-ce69a54be48e,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
in,862,540,40,25,0,882.0,552.5,0.0173370319001386,0.0210526315789473,2fc9dc2b-585f-45e4-8983-d4adef7196ad,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
deciphering,925,540,241,31,0,1045.5,555.5,0.0214979195561719,0.1268421052631579,7bb63361-0485-45d9-a9fb-9b8c4e39b75d,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
the,1191,541,61,24,0,1221.5,553.0,0.0166435506241331,0.0321052631578947,41e0914e-78d2-40ea-b9c2-d8aa34d5aba8,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
"text,",1279,544,99,25,0,1328.5,556.5,0.0173370319001386,0.0521052631578947,614f61a2-ff85-456d-b095-30ae0a501f3c,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
and,1410,541,64,24,0,1442.0,553.0,0.0166435506241331,0.0336842105263157,58384bc6-5979-493a-a25f-80d0e1ee7e91,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
it,1500,540,38,25,0,1519.0,552.5,0.0173370319001386,0.02,7c7774e2-38b3-4956-b0c2-79a6d05fb580,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
has,1563,541,63,24,0,1594.5,553.0,0.0166435506241331,0.0331578947368421,2b1ce439-5788-436d-bc31-af70bb02a1dc,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
become,1650,541,130,24,0,1715.0,553.0,0.0166435506241331,0.0684210526315789,86146868-048b-43f2-a916-671e2e6a54ab,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
a,1806,548,19,17,0,1815.5,556.5,0.0117891816920943,0.01,68e0f5df-7f86-4a0d-bedd-d26a4b7c6939,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
famous,3,632,127,23,0,66.5,643.5,0.0159500693481276,0.0668421052631579,5a372f4e-8da7-4261-aec2-ca1a165eded5,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
case,156,637,84,18,0,198.0,646.0,0.0124826629680998,0.0442105263157894,12f4284e-de30-4361-942b-fa5444547597,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
in,268,630,40,25,0,288.0,642.5,0.0173370319001386,0.0210526315789473,34cb15d4-6a5a-4165-b017-204a05d76edc,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
the,333,631,61,24,0,363.5,643.0,0.0166435506241331,0.0321052631578947,a66af8bf-8781-4a60-a691-ec5d0b2f1a7f,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
history,419,630,152,30,0,495.0,645.0,0.0208044382801664,0.08,ba89efa5-90a0-4787-bf5d-666fe20cedae,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
of,596,632,39,23,0,615.5,643.5,0.0159500693481276,0.0205263157894736,ac38325a-30fe-45df-9273-4bbc7c8ffddc,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
cryptography.,662,631,276,30,0,800.0,646.0,0.0208044382801664,0.1452631578947368,d8a91b56-f0d0-4aa4-b291-c4bc2cf46dff,the_voynich_manuscript_4,"No one has yet succeeded in deciphering the text, and it has become a famous case in the history of cryptography."
The,970,631,62,24,0,1001.0,643.0,0.0166435506241331,0.0326315789473684,4587050c-915c-457a-97c6-3bf129d2ca3a,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
mystery,1056,634,153,26,0,1132.5,647.0,0.0180305131761442,0.0805263157894736,b012515c-0207-4dd5-a6dd-78673d7ab28f,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
of,1234,632,39,23,0,1253.5,643.5,0.0159500693481276,0.0205263157894736,3312ec83-5e08-4690-8104-b8c48f2f0d92,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
the,1301,631,61,24,0,1331.5,643.0,0.0166435506241331,0.0321052631578947,5b5e00bb-0d37-4eef-bd19-511b4dd4da47,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
meaning,1386,630,154,31,0,1463.0,645.5,0.0214979195561719,0.0810526315789473,955f7ba0-1045-4f5a-a5de-a7364d5606c4,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
and,1564,631,64,24,0,1596.0,643.0,0.0166435506241331,0.0336842105263157,36f41b26-a647-4595-8c4d-d42f0d452c01,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
origin,1652,630,130,31,0,1717.0,645.5,0.0214979195561719,0.0684210526315789,924d71c8-570b-46e6-8e39-c3abf3894cbc,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
of,1806,632,39,23,0,1825.5,643.5,0.0159500693481276,0.0205263157894736,4702bc42-6cdc-4878-902b-0a594353d52d,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
the,3,722,61,24,0,33.5,734.0,0.0166435506241331,0.0321052631578947,6c58faa5-a601-494c-b07e-32d4dd2e0c2a,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
manuscript,88,721,218,31,0,197.0,736.5,0.0214979195561719,0.1147368421052631,631e470c-3f31-48d5-a6d4-48c49003969a,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
has,331,722,63,24,0,362.5,734.0,0.0166435506241331,0.0331578947368421,5dbbb546-d842-4b3c-b092-094f0bc45f04,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
excited,420,721,152,25,0,496.0,733.5,0.0173370319001386,0.08,7838a2f4-19e4-4289-b0f5-a3f45de4dd52,the_voynich_manuscript_5,"The mystery of the meaning and origin of the manuscript has excited the popular imagination, making the manuscript the subject of novels and speculation."
